subject    | extra_file                               | ref? | referenced_by
----------------------------------------------------------------------------------------------------
daofa      | anshan.html                              | Y    | daofa/index.html, site/daofa/index.html
daofa      | dalian.html                              | Y    | daofa/index.html, site/daofa/index.html
daofa      | duibi.html                               | Y    | daofa/index.html, site/daofa/index.html
daofa      | fushun.html                              | Y    | daofa/index.html, site/daofa/index.html
daofa      | heping.html                              | Y    | daofa/index.html, site/daofa/index.html
daofa      | shenhe.html                              | Y    | daofa/index.html, site/daofa/index.html
daofa      | sujiutun.html                            | Y    | daofa/index.html, site/daofa/index.html
daofa      | yingkou.html                             | Y    | daofa/index.html, site/daofa/index.html
daofa      | yuhong.html                              | Y    | daofa/index.html, site/daofa/index.html
huaxue     | anshan.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | dalian.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | duibi.html                               | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | fushun.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | heping.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | huanggu.html                             | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | hunnan.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | shenbei.html                             | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | shenhe.html                              | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | sujiutun.html                            | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | tieling.html                             | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | tiexi.html                               | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | yingkou.html                             | Y    | huaxue/index.html, site/huaxue/index.html
huaxue     | yuhong.html                              | Y    | huaxue/index.html, site/huaxue/index.html
lishi      | anshan.html                              | Y    | lishi/index.html, site/lishi/index.html
lishi      | dalian.html                              | Y    | lishi/index.html, site/lishi/index.html
lishi      | duibi.html                               | Y    | lishi/index.html, site/lishi/index.html
lishi      | fushun.html                              | Y    | lishi/index.html, site/lishi/index.html
lishi      | heping.html                              | Y    | lishi/index.html, site/lishi/index.html
lishi      | shenhe.html                              | Y    | lishi/index.html, site/lishi/index.html
lishi      | sujiutun.html                            | Y    | lishi/index.html, site/lishi/index.html
lishi      | tieling.html                             | Y    | lishi/index.html, site/lishi/index.html
lishi      | tiexi.html                               | Y    | lishi/index.html, site/lishi/index.html
lishi      | yingkou.html                             | Y    | lishi/index.html, site/lishi/index.html
lishi      | yuhong.html                              | Y    | lishi/index.html, site/lishi/index.html
shuxue     | anshan.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | dalian.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | duibi.html                               | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | fushun.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | heping.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | huanggu.html                             | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | hunnan.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | shenbei.html                             | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | shenhe.html                              | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | sujiutun.html                            | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | tieling.html                             | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | tiexi.html                               | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | yingkou.html                             | Y    | shuxue/index.html, site/shuxue/index.html
shuxue     | yuhong.html                              | Y    | shuxue/index.html, site/shuxue/index.html
wuli       | anshan.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | dalian.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | fushun.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | heping.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | huanggu.html                             | Y    | wuli/index.html, site/wuli/index.html
wuli       | hunnan.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | shenbei.html                             | Y    | wuli/index.html, site/wuli/index.html
wuli       | shenhe.html                              | Y    | wuli/index.html, site/wuli/index.html
wuli       | sujiatun.html                            | Y    | wuli/index.html, site/wuli/index.html
wuli       | tieling.html                             | Y    | wuli/index.html, site/wuli/index.html
wuli       | tiexi.html                               | Y    | wuli/index.html, site/wuli/index.html
wuli       | yingkou.html                             | Y    | wuli/index.html, site/wuli/index.html
wuli       | yuhong.html                              | Y    | wuli/index.html, site/wuli/index.html
yingyu     | anshan.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | dalian.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | duibi.html                               | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | fushun.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | heping.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | huanggu.html                             | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | hunnan.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | shenhe.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | sujiatun.html                            | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | tieling.html                             | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | tiexi.html                               | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | yingkou.html                             | Y    | yingyu/index.html, site/yingyu/index.html
yingyu     | yuhong.html                              | Y    | yingyu/index.html, site/yingyu/index.html
yuwen      | anshan.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | dalian.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | duibi.html                               | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | fushun.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | heping.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | huanggu.html                             | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | hunnan.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | shenbei.html                             | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | shenhe.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | sujiutun.html                            | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | tieling-ermo.html                        | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | tieling-yimo.html                        | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | tiexi.html                               | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | yingkou.html                             | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | yuhong.html                              | Y    | yuwen/index.html, site/yuwen/index.html
yuwen      | zuowen.html                              | Y    | yuwen/index.html, site/yuwen/index.html

Summary Statistics:
subject    | extra总量    | 被引用数       | 未引用数      
--------------------------------------------------
daofa      | 9          | 9          | 0         
huaxue     | 14         | 14         | 0         
lishi      | 11         | 11         | 0         
shuxue     | 14         | 14         | 0         
wuli       | 13         | 13         | 0         
yingyu     | 13         | 13         | 0         
yuwen      | 16         | 16         | 0         
